"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"0.07","(0.01)","","0.03","(0.01)","","0.15","(0.01)","","0.04","(0.02)"
"0.09","(0.01)","","0.00","(0.01)","","0.17","(0.01)","","0.00","(0.01)"
"0.10","(0.01)","","-0.00","(0.01)","","0.17","(0.01)","","0.01","(0.01)"
"0.08","(0.01)","","0.02","(0.01)","","0.15","(0.01)","","0.04","(0.01)"
"0.10","(0.01)","","-0.00","(0.01)","","0.16","(0.01)","","0.00","(0.01)"
"0.09","(0.01)","","-0.01","(0.01)","","0.15","(0.01)","","-0.00","(0.01)"
"0.09","(0.01)","","0.01","(0.01)","","0.16","(0.02)","","0.02","(0.02)"
"0.09","(0.01)","","0.00","(0.02)","","0.17","(0.02)","","0.02","(0.02)"
"0.10","(0.01)","","-0.01","(0.02)","","0.17","(0.02)","","0.00","(0.02)"
"0.10","(0.01)","","0.03","(0.01)","","0.16","(0.02)","","0.01","(0.02)"
"0.09","(0.01)","","0.01","(0.01)","","0.17","(0.01)","","0.01","(0.01)"
